S.no,Name of Restaurants,Type of Restaurants,Rating,Rating by people,Rating_by_people,Website,Address,Area,Phone number,Outlets included,Web page
249,Centre Circle,,0,0,"
Whether you are looking for a spot to watch all the sporting action or just looking to bend an elbow without burning a hole in your pocket, Centre Circle is the place to be in. There are plenty of screens pointing down at you and attractive deals calling you to this modern sports bar tucked away in Al Barsha. Less
",http://carltonbarsha.com,"
Ground Level ","
Al Barsha ","
+971 4 501 9193 ",Carlton Al Barsha Hotel,https://www.theentertainerme.com/outlets/centre-circle/detail?o=84862&m=49136
250,Centro Cittá,Italian,4,7,"
If you are looking for a cosy place to dine, stop by and enjoy the tasty, mouth-watering flavours of Italian cuisine at Centro Città! Relax and taste fresh Italian food made right. Let your taste buds go wild with a selection of pizza, pasta and real Italian gelato. Enjoy the fun and down-to-earth atmosphere of a genuine Italian restaurant with friends and family. Discover Dubai's Italian secrets at this restaurant. We'll definitely make you feel at home! Less
",http://www.fourpointsdowntowndubai.com,"
Ground Level, Mankhool Road ","
Downtown Dubai ","
+971 4 501 3113 ",Four Points by Sheraton Downtown Dubai,https://www.theentertainerme.com/outlets/centro-citt/detail?o=3064&m=1968
251,Certo,Italian,4.5,500,"
Enjoy a taste of Italy in the heart of Dubai, simply and authentically prepared. From home-made antipasti and pasta to pizza baked in a wood-fired oven, Certo offers modern Italian cuisine using only the freshest seasonal ingredients. Join us on Saturdays for Festa Di Famiglia family brunch or during weekdays for our classy business lunch offers. Less
",https://www.radissonhotels.com/en-us/hotels/radisson-blu-dubai-media-city/restaurant-bar/certo,"
Ground Level ","
Dubai Media City ","
+971 4 366 9187 ","Radisson Blu Hotel, Dubai Media City",https://www.theentertainerme.com/outlets/certo/detail?o=52&m=15
252,Chai and Co, Read Reviews,4,11,"
Our story starts with a cup of karak chai, fresh parathas and good company. Breaking barriers of quality and service, Chai and Co. is Dubai’s first premium tea café. We provide an out-of-the-pot experience for all chai and tea lovers. Exotic yet contemporary, trendy but cosy, Chai and Co. is the perfect place to enjoy that cup of premium saffron-infused karak chai with a crisp fresh paratha sandwich. Less
",https://www.instagram.com/chaiandcouae/,"
Ground Level ","
Al Warqa'a ","
+971 4 395 6889 ",Al Warqa'a Mall,https://www.theentertainerme.com/outlets/chai-and-co/detail?o=46527&m=27226
253,Chamas - Dubai,Brazilian,4.5,1716,"
Chamas Churrascaria and Bar is located at Crowne Plaza Dubai, in the heart of Sheikh Zayed Road. Diners can expect a traditional churrascaria atmosphere with an open kitchen, featuring 18 different cuts of the finest meat, including beef, chicken, lamb and veal. Chamas, translated from Portuguese, means ""flames"" and the theme runs throughout the restaurant. Less
",https://www.crowneplazadubai.com/special-offers,"
Ground Level ","
Sheikh Zayed Road ","
800-Crowne (276963) ",Crowne Plaza Dubai,https://www.theentertainerme.com/outlets/chamas-dubai/detail?o=8670&m=4713
254,Champs Sports Bar,,0,0,"
Offers a range of traditional bar food alongside a selection of drinks. A friendly and lively sports-themed setting that has multiple TV’s where you can enjoy your choice of the daily sporting highlights. Less
",http://www.barcelo.com,"
Ground Level ","
International Media Production Zone ","
+971 4 246 4500 ",Occidental Hotel IMPZ,https://www.theentertainerme.com/outlets/champs-sports-bar/detail?o=64220&m=37660
255,Champs Sports Bar & Grill,Bar Food,0,0,"
Champs Sports Bar & Grill offers a varied and extensive menu. Whether you fancy an exotic cocktail, fresh coffee or an intimate dinner, you will be spoilt for choice. With a full breakfast buffet available on a daily basis, there is something for everyone at Champs Sports Bar & Grill! Less
",http://www.actionhotelrak.com,"
Ground Level ","
Ras Al Khaimah ","
+971 7 246 5222 ",Action Hotel Ras Al Khaimah,https://www.theentertainerme.com/outlets/champs-sports-bar-grill/detail?o=38351&m=22778
256,Channels,International,4,244,"
This is an informal yet stylish all-day dining restaurant, serving rich and fragrant International buffets. Channels offers breakfast, lunch and dinner buffets in addition to an extensive à la carte menu. The outlet offers a wide selection of International, regional and Asian cuisine with live cooking stations. For business and leisure, the buffet variety and à la carte menu are served in a truly relaxing atmosphere. Less
",http://www.rotana.com,"
Ground Level ","
Barsha Heights ","
+971 4 435 0000 ",Media Rotana,https://www.theentertainerme.com/outlets/channels/detail?o=2956&m=1897
257,Chapters,Cafe,0,0,"
Chapters, the resort’s lobby café, is a great place to socialise over a morning coffee or to enjoy the peaceful surroundings. Come & read a book from our library as you enjoy afternoon tea. Less
",http://theretreatpalmdubai.com/dining,"
Lobby Level ","
The Palm Jumeirah ","
+971 4 524 7777 ",The Retreat Palm Dubai MGallery by Sofitel,https://www.theentertainerme.com/outlets/chapters/detail?o=57761&m=33775
258,Charcoal Garden Restaurant & Cafe,International,0,0,"
Charcoal Garden is a backyard barbecue inspired restaurant located in the heart of Dubai Media City. It offers you unique dishes made with exceptional cooking appliances like the sous vide, rotisserie and an air fryer to suit all your nutritional needs. The concept of casual dining, lavish food and cosy ambience is our definition. We serve an extensive menu that showcases International cuisine with renowned Arabic dishes for breakfast, lunch and dinner. Less
",https://www.charcoalgarden.net/,"
Shop No. 1, Ground Level, Shatha Tower ","
Dubai Media City ","
+971 4 584 4922 ",Dubai Media City,https://www.theentertainerme.com/outlets/charcoal-garden-restaurant-cafe/detail?o=84057&m=48939
259,Charley's Philly Steak - Dragon Mart,,0,0,"
Charleys Philly Steaks menu consists of sandwiches, gourmet fries, breakfast, salads and signature drinks chosen for their diversity, taste and popularity. We strive to serve freshly prepared food in an entertaining atmosphere. The world’s #1Cheesesteak is made with only premium ingredients like 100% steak and all-white meat chicken, all-natural cheese and hand-cut vegetables, grilled-fresh-to-order, delicious sauces and tangy condiments. The gourmet fries topped with molten cheddar cheese sauce, ranch and bacon bites, freshly squeezed lemonades and provolone cheese bring a distinct feel to the Charley's varied offering. Less
",http://charleysme.com,"
1st Level, Food Court ","
Dubai International City ","
+971 4441 9591 ",Dragon Mart 1,https://www.theentertainerme.com/outlets/charley-s-philly-steak-dragon-mart/detail?o=91961&m=52725
260,Charley's Pilly Steak Dubai,,0,0,"
Charleys Philly Steaks is one of the world's fastest-growing quick-service restaurant concepts. The menu consists of sandwiches and salads chosen for their diversity, unique taste and undying popularity. We strive to serve freshly prepared food in an entertaining atmosphere. From sirloin beef Philly steaks and grilled chicken breast to brown edged turkey breast, halloumi cheese and Philly veggies, our subs, wraps and salads are made of 100% halal meats, garden-fresh vegetables, exotic cheese, delicious sauces and tangy condiments. Less
",http://www.charleys.ae,"
2nd Level ","
Al Rigga ","
+971 4 259 5440 ",Al Ghurair Centre,https://www.theentertainerme.com/outlets/charley-s-pilly-steak-dubai/detail?o=84340&m=49085
261,Charleys Philly Steaks - Dubai, Read Reviews,4,26,"
Charleys Philly Steaks menu consists of sandwiches, gourmet fries, breakfast, salads and signature drinks chosen for their diversity, taste and popularity. We strive to serve freshly prepared food in an entertaining atmosphere. The world’s #1Cheesesteak is made with only premium ingredients like 100% steak and all-white meat chicken, all-natural cheese and hand-cut vegetables, grilled-fresh-to-order, delicious sauces and tangy condiments. The gourmet fries topped with molten cheddar cheese sauce, ranch and bacon bites, freshly squeezed lemonades and provolone cheese bring a distinct feel to the Charley's varied offering. Less
",http://charleysme.com,"
Food Court, DAFZA ","
Airport Road ","
+971 4 288 1833 ",Airport Road,https://www.theentertainerme.com/outlets/charleys-philly-steaks-dubai/detail?o=1637&m=1051
262,Charlie's Pub,Bar Food,4.5,154,"
Bringing the traditional feel of an English pub to Dubai, Charlie’s Pub gives the look and feel of comfort embodied in a piece of home for many residents and visitors. It serves as a link between the past and the present. A combination of 80s hits and décor with modern-day sports and food make this venue the typical chill-out place for any travelling or local guest. Less
",http://www.charliespubdubai.com,"
Mezzanine Level ","
Sheikh Zayed Road ","
+971 56 414 2213 ",Four Points by Sheraton Sheikh Zayed Road,https://www.theentertainerme.com/outlets/charlie-s-pub/detail?o=2042&m=1299
263,Charm Thai,Thai,4.5,52,"
Charm Thai is a signature restaurant that serves an extensive menu of appetising and elevated Thai street food as well as creative drinks. The venue features a private dining space with an alfresco terrace, treating guests to an expansive view of the Dubai Marina waterfront. Less
",https://charmthaidxb.com/,"
B1, Al Dubai, Accessible Thru The Dubai Marina Promenade, Yahoom Street ","
Dubai Marina ","
+971 4 378 0139 ",Crowne Plaza Dubai Marina,https://www.theentertainerme.com/outlets/charm-thai/detail?o=90922&m=52276
264,Cheers Pub,International,4,12,"
This is the perfect combination of a cocktail lounge and grape bar. It's a trendy venue for a friendly get-together over global tapas and it boasts an impressive list of grapes available by the glass and new-age cocktails perfectly prepared by one of the highly trained mixologists. Less
",http://www.arabianparkhotel.com,"
Ground Level ","
Al Jaddaf ","
+971 4 324 5999 ",Arabian Park Hotel,https://www.theentertainerme.com/outlets/cheers-pub/detail?o=25376&m=15218
265,Cheezzeee,Fast Food,0,0,,https://cheezzeee.com/,"
Ground level ","
Dubai International City ","
+971 4 568 7121 ",Dubai International City,https://www.theentertainerme.com/outlets/cheezzeee/detail?o=94286&m=53734
266,Chef De Angelo,International,0,0,"
The Chef de Angelo is a symbol of a real boss-artist. This brand was created out of love and passion for Italian cuisine. While preparing food for you, we want you to feel like you’re in an Italian restaurant in the centre of Rome. We serve pizzas, burgers, main dishes and appetizers - a large selection, made with high quality and fresh ingredients. Order and go on a journey with Chef Angelo, who watches over us as a symbol and good spirit of our restaurant. Less
",,"
 Delivery only: Al Falak Street, Inside CNN Building, Ground Level ","
","
+971 58 588 9319 ",Dubai Media City,https://www.theentertainerme.com/outlets/chef-de-angelo/detail?o=85250&m=49370
267,Chicken Cottage,,0,0,"
Chicken Cottage is the UK's fast-casual dining concept that serves both crispy and grilled chicken. We use only fresh, locally sourced, grade A and hormone & antibiotic free chicken. We pride ourselves in offering our customers a variety in terms of menu and value for money without compromising on quality. We have an extensive menu, offering everything from chicken pieces, grilled chicken, chicken wings, burgers and wraps to salads, rice and desserts along with vegetarian options. Less
",http://www.chickencottageme.com,"
Unit 4, Ground Level, Opposite Jumeirah Beach Hotel, Jumeirah Beach Road ","
Jumeirah ","
+971 4 333 4222 ",The Mall,https://www.theentertainerme.com/outlets/chicken-cottage/detail?o=63834&m=37404
268,Chicken Doner Kebab,,0,0,,,"
Delivery only: Food Central ","
","
+971 2 671 0355 ",City Centre Deira,https://www.theentertainerme.com/outlets/chicken-doner-kebab/detail?o=91833&m=52694
269,Chicken Forever,,0,0,"
Chicken Forever serves the best burgers, pasta, fries and much more! Their dishes are so delicious that you will surely be craving for more! Less
",,"
Delivery only: Cluster U, Tamweel Tower, Ground Level, Kitchen Park ","
","
97145868768 ",Jumeirah Lakes Towers,https://www.theentertainerme.com/outlets/chicken-forever/detail?o=90976&m=52417
270,Chicken Nations,International,0,0,"
Chicken Nations is more than just a restaurant with great food. It has a passion for cooking and sharing the best flavours. Their chicken specialities are prepared in many different ways, using top-quality meat, ideal for the whole family to enjoy. Less
",,"
Delivery only: Damac Maison Canal Views, Ground Level, Shop 8-9, Marasi Drive Street ","
","
+971 58 588 9319 ",Business Bay,https://www.theentertainerme.com/outlets/chicken-nations/detail?o=86183&m=49765
271,Chicken Tikka Inn,,0,0,,,"
Shop 3, Ground Level, Saleh Bin Lahej Building, Opposite West Zone Fresh Supermarket, Al Seedaf Street, ","
","
+971 4 432 7235 ",Al Barsha,https://www.theentertainerme.com/outlets/chicken-tikka-inn/detail?o=92396&m=52849
272,Chickn,,0,0,"
Chickn is fulfilling all your dreams about chicken dishes. We deliver chicken wings prepared in various styles. Additionally, we serve nachos, tortillas, Mexican salad, Cuban salad and a whole range of house drinks! Finally, desserts - our favourite trinity: chocolate cake, tre leches - Latino version of a famous milk cake and crema volteda - a Peruvian style crème caramel. Latin American, Mexican cuisine at its best. Chicken wings you will not eat anywhere else. Check our menu. Less
",,"
Delivery only: MAG 214 Tower ","
","
+971 58 588 9319 ",Jumeirah Lakes Towers,https://www.theentertainerme.com/outlets/chickn/detail?o=87381&m=50190
273,Chili's - Dubai, Read Reviews,3.5,223,"
Chili’s has been awarded the Superbrands title for the eleventh consecutive year for its quality food, beverages and service, delivered in a friendly and casual atmosphere that embodies the true casual dining experience. A great place to hang out with friends and family and enjoy a delicious meal, because “More Life, Happens Here”. Less
",http://www.salehbinlahejgroup.com,"
Saleh Bin Lahej Building, Ground Level ","
Al Garhoud ","
600 561112 ",Al Garhoud,https://www.theentertainerme.com/outlets/chili-s-dubai/detail?o=3066&m=1970
274,Chili's - Sharjah,American,0,0,"
 Chili’s has been awarded the Superbrands title for the eleventh consecutive year for its quality food, beverages and service, delivered in a friendly and casual atmosphere that embodies the true casual dining experience. A great place to hang out with friends and family and enjoy a delicious meal, because “More Life, Happens Here”. Less
",,"
1st Level ","
","
+971 4 705 9662 ",Sahara Centre,https://www.theentertainerme.com/outlets/chili-s-sharjah/detail?o=88411&m=50600
275,Chili’s - Fujairah,,0,0,"
Chili’s has been awarded the Superbrands title for the eleventh consecutive year for its quality food, beverages and service, delivered in a friendly and casual atmosphere that embodies the true casual dining experience. A great place to hang out with friends and family and enjoy a delicious meal, because “More Life, Happens Here”. Less
",,"
Ground Level ","
","
 600 561112 ",City Centre Fujairah,https://www.theentertainerme.com/outlets/chili-s-fujairah/detail?o=87645&m=50382
276,Chill Cafe,,0,0,,https://all.accor.com/hotel/6540/index.en.shtml,"
Lobby Level ","
Al Barsha ","
+971 4 399 6699 ",Ibis Al Barsha,https://www.theentertainerme.com/outlets/chill-cafe/detail?o=92713&m=53157
277,Chimes,,0,0,"
At Chimes, our goal is to treat all your senses to the vibrant experience of authentic Asian cuisine. Introducing the flavours of the Far East to Dubai, an absolute must-try are our signature dishes of Singapore chilli crab and pepper crab. We only use live mud crab - no wonder our crab dishes are hands-down the best in town and will undoubtedly be the highlight of your meal. We also offer a variety of stir-fries, curries, rice, noodles and flavourful & spicy soups. Less
",http://www.chimesdubai.com,"
UB-04, JBC- 1, Cluster G ","
Jumeirah Lakes Towers ","
+971 4 240 6252 ",Jumeirah Lakes Towers,https://www.theentertainerme.com/outlets/chimes/detail?o=44699&m=26203
278,China Bistro,,0,0,,http://www.chinabistro.co,"
Al Balorah building Shop.no. 2, Plot no.486-0 Next to Park Regis Hotel Opp. Spinneys Mall ","
Al Karama ","
+971 56 525 6207 ",Al Karama,https://www.theentertainerme.com/outlets/china-bistro/detail?o=93129&m=53180
279,Chival Global Social,International,4.5,389,"
Chival offers a warm and welcoming atmosphere in a chic city setting where an extensive range of dishes are available throughout the day reflecting a global artisanal cuisine. The décor is light and airy, complete with an in-house bakery, herbal bar and outdoor seating area on the terrace. Modern International dishes with a twist and Arabic touch celebrate sustainability wherever possible, focusing on thoughtfully sourced products. Less
",http://www.chivallaville.com,"
Ground Level ","
Al Wasl ","
+971 54 309 5948 ",La Ville Hotel & Suites CITY WALK Dubai,https://www.theentertainerme.com/outlets/chival-global-social/detail?o=38662&m=22920
280,Chutneys, Read Reviews,4.5,424,"
Experience the incredible Nawabi flavour of the Northern and Frontier regions of India in Bur Dubai with authentic recipes from the Qureshi family and their exclusive take on traditional Dum Pukht cooking style. Let the melodious Ghazal duo and the restaurant's warm and elegant atmosphere transport you back to a time of regal cuisine, grand hospitality and flamboyant music. Less
",http://www.movenpick.com/dubai-bur,"
1st Level ","
Bur Dubai ","
+971 4 336 6000  ",Mövenpick Hotel and Apartments Bur Dubai,https://www.theentertainerme.com/outlets/chutneys/detail?o=725&m=466
281,Cielo,Spanish,4.5,625,"
Cielo Sky Lounge at the Dubai Creek Yacht Club offers an open-air terrace with spectacular panoramic views of Dubai's cityscape and the picturesque Dubai Creek, reminiscing of the Balearic Isles with a décor of cool blues and bright whites. Guests can unwind and enjoy innovative cocktail creations created by an award-winning team, sleek lounge décor and live music from local talents and International celebrity DJs. Less
",http://www.cielodubai.com,"
Dubai Creek Golf & Yacht Club ","
Deira ","
+971 4 416 1800 ",Dubai Creek Golf & Yacht Club,https://www.theentertainerme.com/outlets/cielo/detail?o=8414&m=4571
282,Cilantro,International,4.5,27,"
Echoing an unparalleled charm with its elegant and modern design, Cilantro serves an enticing International menu throughout the day. The restaurant is perfect for an informal meeting, a family brunch or home-made pastries along with a cup of coffee or tea. Feast on tantalising breakfast and lunch buffets and enjoy a salad and dessert buffet along with a special à la carte menu for dinner, prepared by chefs in the open kitchen. Diners also have the option of partaking in Theme Nights and Friday brunch for the whole family. Less
",http://rotana.com,"
P2 Level ","
Dubai Media City ","
+971 4 436 0000 ",Arjaan by Rotana Dubai Media City,https://www.theentertainerme.com/outlets/cilantro/detail?o=36545&m=21867
283,Cilantro Cafe,,0,0,"
Cilantro Cafe serves an enticing International menu throughout the day. The cafe serves home-made pastries along with a cup of coffee or tea. Less
",http://rotana.com,"
P2 Level ","
Dubai Media City ","
+971 4 436 0000 ",Arjaan by Rotana Dubai Media City,https://www.theentertainerme.com/outlets/cilantro-cafe/detail?o=92009&m=52750
284,Cin Cin,,0,0,"
This legendary bar features a spacious setting complemented by colorful neon lights and contemporary chill-out music. Offering an impressive food menu that includes wagyu beef burgers, a selection of oysters, tapas to share and other International delicacies to complement the extensive beverage selection, makes Cin Cin a sought-after evening destination. Less
",,"
2nd Level ","
","
+971 4 311 8316 ",Fairmont Dubai,https://www.theentertainerme.com/outlets/cin-cin/detail?o=86755&m=50140
285,Cinnabon - Dubai, Read Reviews,4.5,10,"
Since 1985, the world’s most famous cinnamon rolls have been delighting fans across the globe. Created from a carefully guarded secret recipe, Cinnabon's world famous Cinnamon Rolls™ are made with premium Indonesian cinnamon “Makara” and topped with a sweet, rich, cream cheese-based frosting. Beyond great baked goods, the outlets also offer a refreshing and thirst quenching selection of icy cold beverages and America’s favourite ice cream Carvel, available at selected stores. Less
",http://cravia.com/,"
2nd Level, Near Cinema ","
Deira ","
600522273 ",City Centre Deira,https://www.theentertainerme.com/outlets/cinnabon-dubai/detail?o=3409&m=2083
286,Claypot,Indian,4,139,"
Spice up your life with delicious Indian cuisine served in vibrant surroundings in our charming Claypot restaurant. We serve mouth-watering traditional Desi food, the warmth of which is reflected in our ever-smiling team ready to delight you throughout your dining experience. Less
",http://www.citymaxhotels.com,"
Ground Level ","
Bur Dubai ","
+971 50 100 7065 ",Citymax Hotels Bur Dubai,https://www.theentertainerme.com/outlets/claypot/detail?o=2979&m=1916
287,Claypot - Ras Al Khaimah,Indian,0,0,"
Spice up your life with delicious Indian cuisine served in vibrant surroundings in our charming Claypot restaurant. We serve mouth-watering traditional Desi food, the warmth of which is reflected in our ever-smiling team ready to delight you throughout your dining experience. Less
",http://www.citymaxhotels.com,"
Mezzanine Level ","
Ras Al Khaimah ","
+971 56 992 2286 ",Citymax Hotels Ras Al Khaimah,https://www.theentertainerme.com/outlets/claypot-ras-al-khaimah/detail?o=68638&m=39608
288,Clinton Street Baking Company,American,4.5,46,"
New York’s famous Clinton Street Baking Company serves American classics with a southern twist and uses the best certified organic ingredients. Less
",http://www.clintonstreetbaking.ae,"
Al Wasl Road ","
Al Wasl ","
+971 4 344 0705 ",City Walk,https://www.theentertainerme.com/outlets/clinton-street-baking-company/detail?o=30311&m=13662
289,Cloud Lounge,Cafe,4.5,21,"
Serving the best of Lebanese and Turkish cuisines, Cloud Restaurant & Lounge takes guests on a culinary and cultural adventure of both worlds. Dishes that are prepared with fresh and seasonal ingredients and perfectly plated to ignite your palate, paired with drinks crafted by our mixologists. Located at Studio One Hotel in Dubai Studio City, the Mediterranean-inspired venue is the place to meet, eat and chill. Less
",,"
1st Level ","
","
 +971 56 219 8919 ",Dubai Studio City,https://www.theentertainerme.com/outlets/cloud-lounge/detail?o=90910&m=52254
290,Club Boudoir Dubai, Read Reviews,3.5,24,"
Club Boudoir is ranked as one of the top five clubs in the UAE. It has hosted more than 200 International celebrities ranging from rap stars from the US to Bollywood stars from India. Over the last 13 years, the name ""Boudoir"" has become a legacy for the party-going crowd in Dubai. The club can accommodate around 600 people at a maximum capacity and usually caters to the upscale crowd of Dubai. Club Boudoir is strategically located in the downtown of Dubai at Jumeirah Beach Road. Less
",http://www.clubboudoirdubai.com,"
Jumeirah Road ","
Jumeirah ","
+971 4 345 5995 ",Dubai Marine Beach Resort and Spa,https://www.theentertainerme.com/outlets/club-boudoir-dubai/detail?o=30058&m=18689
291,Cluckrs,,0,0,,,"
Street 20, Same Building of Abdullah Al Muhairi Building, Al Barsha 1 ","
","
+971 55 547 1813 ",Al Barsha,https://www.theentertainerme.com/outlets/cluckrs/detail?o=94343&m=53905
292,Coco Lounge,Fusion,0,0,"
Coco Lounge is a relaxed poolside shisha lounge, perfect for a gathering with friends. Enjoy the mix of Japanese and Latin American cuisine while lounging by the pool along with an extensive range of beverages that is available on the menu. At night, the scene changes to an elegant, upscale social venue, perfect for a fun night out! Less
",http://www.mediaonehotel.com,"
8th Level ","
Dubai Media City ","
+971 52 646 1764 ",Media One Hotel,https://www.theentertainerme.com/outlets/coco-lounge/detail?o=43768&m=25867
293,Coffeol,,0,0,"
Coffeol is a niche coffee shop, dedicated to serving an exclusive coffee experience through the finest organic coffee. The Coffeol name is associated with years of dedication to the perfection of coffee and the coffee café experience. We invite coffee connoisseurs across the UAE to visit us to experience the smooth aromas, satisfying textures and soul-tingling notes of our coffee. Less
",,"
10th Street, Al Garhoud Private Hospital, Belhoul Group, Ground Level ","
","
+971 4 454 5123 ",Al Garhoud,https://www.theentertainerme.com/outlets/coffeol/detail?o=84397&m=49097
294,Cold Stone Creamery Dubai, Read Reviews,4.5,46,"
Experts in innovation: If it has anything to do with ice cream, it has everything to do with Cold Stone Creamery. From unique ice cream creations to smoothies, cakes & shakes, nobody serves up the ultimate indulgence like Cold Stone. Through almost 20 years of serving up the finest ice cream, some things have certainly changed. And frankly, some things haven't. By mixing nuts, fruits and candy into our smooth and creamy ice cream on a frozen granite stone, we're actually more like ice cream artists. Less
",http://www.coldstone.ae,"
Latifa Tower, Ground & Mezzanine Level ","
Sheikh Zayed Road ","
+971 52 647 0852 ",Sheikh Zayed Road,https://www.theentertainerme.com/outlets/cold-stone-creamery-dubai/detail?o=3653&m=2201
295,Community Cafe,,0,0,"
Community Café offers a mix of Mediterranean and International cuisines along with 100% organic coffee. Food is served in a cosy ambience with the view of the beach. Less
",http://www.communitycafe.ae,"
Gound Level, The Cultural and Sceintific Building, Al Mamzar Beach ","
Al Mamzar ","
+971 50 938 4140 ",Al Mamzar,https://www.theentertainerme.com/outlets/community-cafe/detail?o=60584&m=35633
296,Coppasta Restaurant,,0,0,"
With a combination of the words ""Coppa"" (cup in Italian) and ""Pasta"", the name Coppasta portrays the concept of innovative grab-and-go pasta-in-a-cup. Coppasta brings together the simplicity yet diverse range of Italian cuisine, along with the freshness and high quality of ingredients and comforting worldly appeal of innovative flavours. Choose from an array of pasta, sauces, proteins and condiments. Do not forget to add on our signature specials to #MakeItACoppa. Less
",,"
Souq Manzil, Emaar Boulevard ","
","
80026772 ",Downtown Dubai,https://www.theentertainerme.com/outlets/coppasta-restaurant/detail?o=73548&m=42190
297,Cote Jardin,,0,0,,https://www.hmhhotelgroup.com/en/uae/sharjah/coral-beach-sharjah/dining,"
435 Al Muntazah Street, Al Heerah Suburb Al Muntazah ","
Sharjah ","
+971 56 118 5314 ",Sharjah,https://www.theentertainerme.com/outlets/cote-jardin/detail?o=93431&m=53265
298,Counter Culture Café,Cafe,4.5,121,"
Counter Culture Café is a relaxed neighbourhood spot where you can chill, dine and connect. Perfect for breakfast pancakes, a roasted salmon for lunch or a chicken chipotle burrito for dinner, the café is your one-stop shop for all things delicious! Enjoy access to the Remedy Bar where you can select between a dose of antioxidants, fruits and vegetables for a freshly blended smoothie, great for kick-starting the day.  Less
",http://www.marriottharbourdubaidining.com,"
Lobby Level ","
Dubai Marina ","
+971 4 319 4000 ",Dubai Marriott Harbour Hotel & Suites,https://www.theentertainerme.com/outlets/counter-culture-caf/detail?o=21189&m=12739
299,Crave Shack,,0,0,"
We are a home-grown UAE restaurant concept that serves the freshest and most delicious seafood straight to your neighbourhood. Our diners do not just like seafood, they absolutely crave it! We offer 20 signature mouth-watering seafood dishes created by celebrity Chef Hala Ayash. We have made sure that if you are looking to satisfy your ultimate seafood craving, Crave Shack is where you will want to be. Less
",,"
Ground Level ","
","
+971 4 424 3347 ",The Springs Souk,https://www.theentertainerme.com/outlets/crave-shack/detail?o=57581&m=33666
300,Creekside Pan Asian Restaurant, Read Reviews,4.5,849,"
Creekside Pan Asian Restaurant brings you a true taste of Japan and Asia with fantastic views of the Creek. Choose whatever you like from the sushi counter and then walk across to the wok station and have the chef make the perfect noodle mix for you or wander across to the teppanyaki grill and watch your food being cooked in front of your very own eyes. Your experience will be nothing short of spectacular. Less
",https://www.creeksiderestaurantdubai.com/,"
Ground Level, Baniyas Street ","
Dubai Creek ","
+971 4 207 1750 ",Sheraton Dubai Creek Hotel & Towers,https://www.theentertainerme.com/outlets/creekside-pan-asian-restaurant/detail?o=8494&m=4619
301,Crepe & Go,,0,0,,,"
Food Court, 1st Level ","
","
+971 55 440 3957 ",Mercato Mall,https://www.theentertainerme.com/outlets/crepe-go/detail?o=94024&m=53680
302,Creptastic Restaurant & Cafe,International,0,0,"
Creptastic is a modern crêpe concept with an urban-metropolitan theme, born with a vision to offer a true ""urban food"" experience with the quality and consistency of a world-class eatery. Less
",http://www.creptastic.com,"
Central Area ","
Jumeirah ","
+971 4 349 8890 ",La Mer,https://www.theentertainerme.com/outlets/creptastic-restaurant-cafe/detail?o=82793&m=48443
303,Crystal Bar,Bar Food,4.5,72,"
Enjoy a tempting selection of fine bubbly, cool cocktails, scrumptious finger food and great live music. You're sure to enjoy a fun-filled evening at the bar that all of Dubai adores. Less
",,"
Ground Level ","
","
+971 4 423 4170 ",Grand Millennium Dubai,https://www.theentertainerme.com/outlets/crystal-bar/detail?o=44226&m=26076
304,Cube Bar,Bar Food,4,15,"
The fully licensed Cube Bar on the ground level offers a cosy and relaxing atmosphere while serving a large variety of beverages from 12:00noon until 2:00am. Less
",https://www.accorhotels.com/gb/hotel-6685-ibis-dubai-al-rigga/index.shtml,"
Ground Level ","
Al Rigga ","
+971 4 206 8255 ",ibis Hotel Dubai Al Rigga,https://www.theentertainerme.com/outlets/cube-bar/detail?o=25379&m=15627
305,Cubo,Italian,4,1566,"
Fresh Italian pasta and house style cuisine is the specialty of Cubo Pasta restaurant, offering a range of à la carte options, including a live cooking counter! Take a seat at the cooking bar to get a front row ‘theatre’ experience. Make your own dish and select from a range of pasta with complementing sauces, as well as a selection of classic antipasti, fresh salads, seafood and meat dishes. Less
",http://bit.ly/2Y58ic3,"
Ground Level ","
Dubai World Trade Centre ","
+971 4 332 4444 ",Ibis World Trade Centre Dubai Hotel,https://www.theentertainerme.com/outlets/cubo/detail?o=2199&m=1381
306,Cucina - Courtyard by Marriott Dubai Green Community,Italian,4.5,207,"
Enjoy a little piece of Italy at Cucina - a charming and casual lakeside venue in the heart of Green Community. Equipped with a wood-burning oven, this relaxed restaurant serves delicious rustic Italian cuisine, including pizza, pasta and more. The perfect setting for a Friday well spent, grazing and relaxing with good company over Linner. Less
",http://www.marriottdiningatcy.ae,"
Lobby Level ","
Green Community ","
+971 4 885 2222 ",Courtyard by Marriott Dubai Green Community,https://www.theentertainerme.com/outlets/cucina-courtyard-by-marriott-dubai-green-community/detail?o=2959&m=1900
307,Cucina Mia, Read Reviews,4.5,317,"
At Cucina Mia, every dish we prepare is a genuine expression of traditional Italian culinary skills. We use only the best and freshest ingredients that have been carefully selected and imported from Italy. Our handmade pasta, a variety of Mediterranean fish, excellent quality of selected meats and deliciously prepared home-made desserts will please your palate. Our speciality pizza by the metre is prepared with a dough that is the result of a skilful balance of flour, careful leavening and the final control of the temperature. Less
",http://www.cucinamia.ae,"
La Verda Suites and Villas, Marina Walk Level Shop 3 ","
Dubai Marina ","
+971 4 425 9696 ",Dubai Marina,https://www.theentertainerme.com/outlets/cucina-mia/detail?o=1655&m=1056
